,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,LowerBand_2,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
22266,2022-04-22,4675.90966796875,5000.0,5075.0,4890.0,5000.0,11702100,CPIN.JK,0.0,5404.5,5404.5,5973.005890355079,4835.994109644921,4551.741164467381,1,,0.0,0.9545454545454548,False,False,,,,None
22267,2022-04-25,4601.09521484375,4920.0,5025.0,4910.0,5000.0,7203000,CPIN.JK,-0.016000000000000014,5369.25,5369.25,5966.870500951812,4771.629499048188,4472.819248572282,1,,-0.016000000000000014,0.9392727272727275,False,False,,,,None
22268,2022-04-26,4699.28857421875,5025.0,5050.0,4910.0,4920.0,11296800,CPIN.JK,0.021341463414634054,5335.5,5335.5,5930.708057387455,4740.291942612545,4442.687913918819,1,,0.021341463414634054,0.959318181818182,False,False,,,,None
22269,2022-04-27,4722.66845703125,5050.0,5075.0,4980.0,5050.0,11853100,CPIN.JK,0.004975124378109541,5305.5,5305.5,5894.414255218873,4716.585744781127,4422.12861717169,1,,0.004975124378109541,0.9640909090909093,False,False,,,,None
22270,2022-04-28,4816.1865234375,5150.0,5250.0,5050.0,5100.0,18224900,CPIN.JK,0.01980198019801982,5279.25,5279.25,5845.170535615716,4713.329464384284,4430.3691965764265,1,,0.01980198019801982,0.9831818181818185,False,False,,,,None
22271,2022-05-09,4610.4462890625,4930.0,5175.0,4910.0,5150.0,14033700,CPIN.JK,-0.042718446601941795,5243.25,5243.25,5801.416877517731,4685.083122482269,4405.999683723402,1,,-0.042718446601941795,0.9411818181818185,False,False,,,,None
22272,2022-05-10,4746.04833984375,5075.0,5150.0,4800.0,4910.0,14890000,CPIN.JK,0.02941176470588225,5213.25,5213.25,5737.155123994191,4689.344876005809,4427.392314008714,1,,0.02941176470588225,0.9688636363636366,False,False,,,,None
22273,2022-05-11,4746.04833984375,5075.0,5175.0,5075.0,5075.0,9794500,CPIN.JK,0.0,5180.75,5180.75,5648.637469601961,4712.862530398039,4478.918795597058,1,,0.0,0.9688636363636366,False,False,,,,None
22274,2022-05-12,4526.28076171875,4840.0,5125.0,4840.0,5075.0,10400900,CPIN.JK,-0.04630541871921179,5140.25,5140.25,5576.254285348326,4704.245714651674,4486.24357197751,1,,-0.04630541871921179,0.9240000000000003,False,False,,,,None
22275,2022-05-13,4722.66845703125,5050.0,5150.0,4850.0,4850.0,13971700,CPIN.JK,0.04338842975206614,5114.0,5114.0,5500.163314237846,4727.836685762154,4534.755028643231,1,,0.04338842975206614,0.9640909090909094,False,False,,,,None
22276,2022-05-17,4610.4462890625,4930.0,5125.0,4920.0,5100.0,9331900,CPIN.JK,-0.023762376237623783,5083.0,5083.0,5417.937543274469,4748.062456725531,4580.593685088297,1,,-0.023762376237623783,0.9411818181818185,False,False,,,,None
22277,2022-05-18,4629.150390625,4950.0,4980.0,4920.0,4950.0,5724200,CPIN.JK,0.0040567951318457585,5055.5,5055.5,5331.388993695118,4779.611006304882,4641.666509457323,1,,0.0040567951318457585,0.9450000000000002,False,False,,,,None
22278,2022-05-19,4647.85400390625,4970.0,4970.0,4880.0,4940.0,5683700,CPIN.JK,0.004040404040404066,5034.0,5034.0,5259.2156860948135,4808.7843139051865,4696.176470857779,1,,0.004040404040404066,0.948818181818182,False,False,,,,None
22279,2022-05-20,4816.1865234375,5150.0,5150.0,4950.0,4970.0,7884500,CPIN.JK,0.03621730382293764,5025.25,5025.25,5213.412164103201,4837.087835896799,4743.006753845199,0,,0.03621730382293764,0.9831818181818184,False,True,,,,None
22280,2022-05-23,4638.50244140625,4960.0,5175.0,4920.0,5150.0,9550900,CPIN.JK,-0.03689320388349515,5012.0,5012.0,5176.80929968651,4847.19070031349,4764.786050470236,0,,-0.0,0.9831818181818184,False,False,,,,None
22281,2022-05-24,4666.5576171875,4990.0,5050.0,4930.0,5050.0,7846100,CPIN.JK,0.006048387096774244,5012.0,5012.0,5176.80929968651,4847.19070031349,4764.786050470236,0,,0.0,0.9831818181818184,False,False,,,,None
22282,2022-05-25,4563.6875,4880.0,5000.0,4860.0,4990.0,10238700,CPIN.JK,-0.022044088176352727,5006.0,5006.0,5181.066904504054,4830.933095495946,4743.39964324392,0,,-0.0,0.9831818181818184,False,False,,,,None
22283,2022-05-27,4601.09521484375,4920.0,4950.0,4890.0,4890.0,11725900,CPIN.JK,0.008196721311475308,4994.5,4994.5,5159.676142026434,4829.323857973566,4746.735786960349,0,,0.0,0.9831818181818184,False,False,,,,None
22284,2022-05-30,4769.427734375,5100.0,5100.0,4940.0,4940.0,15657500,CPIN.JK,0.03658536585365857,4998.25,4998.25,5169.630616726261,4826.869383273739,4741.1790749106085,0,,0.0,0.9831818181818184,False,False,,,,None
22285,2022-05-31,5049.982421875,5400.0,5400.0,5075.0,5175.0,36522300,CPIN.JK,0.05882352941176472,5018.25,5018.25,5266.57650408601,4769.92349591399,4645.760243870986,0,,0.0,0.9831818181818184,False,False,,,,None
22286,2022-06-02,5049.982421875,5400.0,5425.0,5225.0,5400.0,12516900,CPIN.JK,0.0,5038.25,5038.25,5339.235661487474,4737.264338512526,4586.771507768788,0,,0.0,0.9831818181818184,False,False,,,,None
22287,2022-06-03,5033.759765625,5275.0,5350.0,5200.0,5300.0,11293500,CPIN.JK,-0.02314814814814814,5056.0,5056.0,5369.244481616449,4742.755518383551,4586.133277575327,0,,-0.0,0.9831818181818184,False,False,,,,None
22288,2022-06-06,5105.32958984375,5350.0,5375.0,5225.0,5275.0,9434600,CPIN.JK,0.014218009478673022,5072.25,5072.25,5411.373871173942,4733.126128826058,4563.564193239088,0,,0.0,0.9831818181818184,False,False,,,,None
22289,2022-06-07,4962.18994140625,5200.0,5350.0,5200.0,5350.0,13813200,CPIN.JK,-0.028037383177570097,5079.75,5079.75,5423.4064226696555,4736.0935773303445,4564.265365995517,0,,-0.0,0.9831818181818184,False,False,,,,None
22290,2022-06-08,4914.47607421875,5150.0,5225.0,5100.0,5200.0,14442800,CPIN.JK,-0.009615384615384581,5079.75,5079.75,5423.4064226696555,4736.0935773303445,4564.265365995517,0,,-0.0,0.9831818181818184,False,False,,,,None
22291,2022-06-09,4723.62255859375,4950.0,5200.0,4950.0,5175.0,14796800,CPIN.JK,-0.03883495145631066,5080.75,5080.75,5422.683742427574,4738.816257572426,4567.84938635864,0,,-0.0,0.9831818181818184,False,False,,,,None
22292,2022-06-10,4795.193359375,5025.0,5050.0,4930.0,4940.0,6585200,CPIN.JK,0.015151515151515138,5078.25,5078.25,5421.090687261744,4735.409312738256,4563.988969107384,0,,0.0,0.9831818181818184,False,False,,,,None
22293,2022-06-13,4795.193359375,5025.0,5025.0,4910.0,5000.0,6267900,CPIN.JK,0.0,5075.75,5075.75,5419.418674590421,4732.081325409579,4560.246988114369,0,,0.0,0.9831818181818184,False,False,,,,None
22294,2022-06-14,4842.90625,5075.0,5075.0,4960.0,5000.0,4979100,CPIN.JK,0.00995024875621886,5087.5,5087.5,5412.809569163702,4762.190430836298,4599.535646254447,0,,0.0,0.9831818181818184,False,False,,,,None
22295,2022-06-15,4795.193359375,5025.0,5100.0,4970.0,5075.0,5235600,CPIN.JK,-0.009852216748768461,5086.25,5086.25,5412.357424986888,4760.142575013112,4597.088862519668,0,,-0.0,0.9831818181818184,False,False,,,,None
22296,2022-06-16,4914.47607421875,5150.0,5175.0,5050.0,5100.0,9597600,CPIN.JK,0.02487562189054726,5097.25,5097.25,5415.922823474253,4778.577176525747,4619.24076478862,0,,0.0,0.9831818181818184,False,False,,,,None
22297,2022-06-17,4795.193359375,5025.0,5200.0,5025.0,5125.0,13680700,CPIN.JK,-0.024271844660194164,5101.0,5101.0,5414.093226405575,4787.906773594425,4631.360160391638,0,,-0.0,0.9831818181818184,False,False,,,,None
22298,2022-06-20,4938.3330078125,5175.0,5200.0,4980.0,5025.0,7415100,CPIN.JK,0.029850746268656803,5111.25,5111.25,5419.673410265823,4802.826589734177,4648.614884601267,0,,0.0,0.9831818181818184,False,False,,,,None
22299,2022-06-21,5081.47265625,5325.0,5350.0,5200.0,5225.0,14342600,CPIN.JK,0.02898550724637672,5120.0,5120.0,5442.653472254514,4797.346527745486,4636.019791618229,0,,0.0,0.9831818181818184,False,False,,,,None
22300,2022-06-22,5200.75634765625,5450.0,5525.0,5300.0,5325.0,24630900,CPIN.JK,0.023474178403755763,5144.5,5144.5,5489.630028890714,4799.369971109286,4626.804956663929,0,,0.0,0.9831818181818184,False,False,,,,None
22301,2022-06-23,5391.60986328125,5650.0,5700.0,5450.0,5500.0,23313500,CPIN.JK,0.03669724770642202,5177.5,5177.5,5581.603947023535,4773.396052976465,4571.344079464698,0,,0.0,0.9831818181818184,False,False,,,,None
22302,2022-06-24,5487.03662109375,5750.0,5800.0,5625.0,5675.0,22888800,CPIN.JK,0.017699115044247815,5221.0,5221.0,5674.542779273994,4767.457220726006,4540.685831089009,0,,0.0,0.9831818181818184,False,False,,,,None
22303,2022-06-27,5630.17724609375,5900.0,5900.0,5650.0,5750.0,14331200,CPIN.JK,0.026086956521739202,5270.0,5270.0,5793.0477486505615,4746.9522513494385,4485.428377024158,0,,0.0,0.9831818181818184,False,False,,,,None
22304,2022-06-28,5510.8935546875,5775.0,5925.0,5700.0,5900.0,8946500,CPIN.JK,-0.021186440677966156,5303.75,5303.75,5866.233917898758,4741.266082101242,4460.024123151863,0,,-0.0,0.9831818181818184,False,False,,,,None
22305,2022-06-29,5654.03369140625,5925.0,6000.0,5800.0,5800.0,16124500,CPIN.JK,0.025974025974025983,5330.0,5330.0,5956.729186877562,4703.270813122438,4389.906219683657,0,,0.0,0.9831818181818184,False,False,,,,None
22306,2022-06-30,5725.60302734375,6000.0,6000.0,5725.0,5925.0,16045300,CPIN.JK,0.012658227848101333,5360.0,5360.0,6054.603256694443,4665.396743305557,4318.095114958336,0,,0.0,0.9831818181818184,False,False,,,,None
22307,2022-07-01,5654.03369140625,5925.0,6000.0,5600.0,6000.0,13033400,CPIN.JK,-0.012499999999999956,5392.5,5392.5,6129.867294037232,4655.132705962768,4286.449058944152,0,,-0.0,0.9831818181818184,False,False,,,,None
22308,2022-07-04,5510.8935546875,5775.0,5900.0,5600.0,5900.0,11747400,CPIN.JK,-0.025316455696202556,5413.75,5413.75,6170.209029398086,4657.290970601914,4279.061455902871,0,,-0.0,0.9831818181818184,False,False,,,,None
22309,2022-07-05,5320.0400390625,5575.0,5775.0,5575.0,5750.0,9419700,CPIN.JK,-0.03463203463203468,5432.5,5432.5,6185.231866708123,4679.768133291877,4303.4021999378165,0,,-0.0,0.9831818181818184,False,False,,,,None
22310,2022-07-06,5463.18017578125,5725.0,5725.0,5450.0,5525.0,8729700,CPIN.JK,0.026905829596412634,5461.25,5461.25,6212.472687567268,4710.027312432732,4334.4159686490975,0,,0.0,0.9831818181818184,False,False,,,,None
22311,2022-07-07,5391.60986328125,5650.0,5725.0,5625.0,5725.0,4509500,CPIN.JK,-0.013100436681222738,5496.25,5496.25,6211.548060803658,4780.951939196342,4423.302908794513,0,,-0.0,0.9831818181818184,False,False,,,,None
22312,2022-07-08,5487.03662109375,5750.0,5750.0,5650.0,5650.0,3871600,CPIN.JK,0.017699115044247815,5532.5,5532.5,6220.19255676616,4844.80744323384,4500.96116485076,0,,0.0,0.9831818181818184,False,False,,,,None
22313,2022-07-11,5439.32275390625,5700.0,5725.0,5600.0,5725.0,1858000,CPIN.JK,-0.008695652173912993,5566.25,5566.25,6214.176855845871,4918.323144154129,4594.359716231194,0,,-0.0,0.9831818181818184,False,False,,,,None
22314,2022-07-12,5343.896484375,5600.0,5700.0,5525.0,5675.0,4399300,CPIN.JK,-0.01754385964912286,5592.5,5592.5,6197.762013728896,4987.237986271104,4684.606979406657,0,,-0.0,0.9831818181818184,False,False,,,,None
22315,2022-07-13,5391.60986328125,5650.0,5700.0,5600.0,5625.0,3038200,CPIN.JK,0.008928571428571397,5623.75,5623.75,6167.004084200017,5080.495915799983,4808.868873699974,0,,0.0,0.9831818181818184,False,False,,,,None
22316,2022-07-14,5606.3193359375,5875.0,5875.0,5625.0,5650.0,10417600,CPIN.JK,0.03982300884955747,5660.0,5660.0,6165.600216522272,5154.399783477728,4901.599675216592,0,,0.0,0.9831818181818184,False,False,,,,None
22317,2022-07-15,5343.896484375,5600.0,5875.0,5600.0,5775.0,8485300,CPIN.JK,-0.04680851063829783,5688.75,5688.75,6098.652106413354,5278.847893586646,5073.896840379968,0,,-0.0,0.9831818181818184,False,False,,,,None
22318,2022-07-18,5487.03662109375,5750.0,5750.0,5500.0,5625.0,5248400,CPIN.JK,0.02678571428571419,5717.5,5717.5,6048.80523372675,5386.19476627325,5220.5421494098755,0,,0.0,0.9831818181818184,False,False,,,,None
22319,2022-07-19,5534.75,5800.0,5800.0,5625.0,5750.0,5438400,CPIN.JK,0.008695652173912993,5741.25,5741.25,6017.634076774941,5464.865923225059,5326.673884837589,0,,0.0,0.9831818181818184,False,False,,,,None
22320,2022-07-20,5630.17724609375,5900.0,5950.0,5800.0,5800.0,11519700,CPIN.JK,0.01724137931034475,5763.75,5763.75,6012.152792593844,5515.347207406156,5391.145811109233,0,,0.0,0.9831818181818184,False,False,,,,None
22321,2022-07-21,5725.60302734375,6000.0,6000.0,5800.0,5900.0,9758700,CPIN.JK,0.016949152542372836,5781.25,5781.25,6044.766203436684,5517.733796563316,5385.975694844974,0,,0.0,0.9831818181818184,False,False,,,,None
22322,2022-07-22,5654.03369140625,5925.0,6050.0,5925.0,6000.0,4113700,CPIN.JK,-0.012499999999999956,5790.0,5790.0,6060.671679151581,5519.328320848419,5383.9924812726285,0,,-0.0,0.9831818181818184,False,False,,,,None
22323,2022-07-25,5701.74658203125,5975.0,6000.0,5825.0,5925.0,2990100,CPIN.JK,0.00843881856540074,5793.75,5793.75,6072.787348943224,5514.712651056776,5375.193976585164,0,,0.0,0.9831818181818184,False,False,,,,None
22324,2022-07-26,5582.462890625,5850.0,5975.0,5850.0,5975.0,3000600,CPIN.JK,-0.02092050209205021,5797.5,5797.5,6077.490601346018,5517.509398653982,5377.514097980973,0,,-0.0,0.9831818181818184,False,False,,,,None
22325,2022-07-27,5630.17724609375,5900.0,5925.0,5800.0,5850.0,3132400,CPIN.JK,0.008547008547008517,5796.25,5796.25,6074.05862401831,5518.44137598169,5379.537063972534,0,,0.0,0.9831818181818184,False,False,,,,None
22326,2022-07-28,5487.03662109375,5750.0,5925.0,5750.0,5900.0,8625300,CPIN.JK,-0.025423728813559365,5783.75,5783.75,6044.959232528053,5522.540767471947,5391.936151207921,0,,-0.0,0.9831818181818184,False,False,,,,None
22327,2022-07-29,5343.896484375,5600.0,5800.0,5600.0,5750.0,16609700,CPIN.JK,-0.02608695652173909,5767.5,5767.5,6032.124858600762,5502.875141399238,5370.562712098857,0,,-0.0,0.9831818181818184,False,False,,,,None
22328,2022-08-01,5606.3193359375,5875.0,5875.0,5600.0,5600.0,8064300,CPIN.JK,0.049107142857142794,5772.5,5772.5,6041.464877378362,5503.535122621638,5369.052683932457,0,,0.0,0.9831818181818184,False,False,,,,None
22329,2022-08-02,5630.17724609375,5900.0,5900.0,5750.0,5875.0,4411800,CPIN.JK,0.004255319148936065,5788.75,5788.75,6046.511109311866,5530.988890688134,5402.108336032201,0,,0.0,0.9831818181818184,False,False,,,,None
